DatasetName,NumClusters,metric,baseline,compare_suite,Double_Time,MiniBatch+Full_Time,Rel_Time,Improvement_%,n_pairs,Single_Time,Double_Inertia,MiniBatch+Full_Inertia,Rel_Inertia,Single_Inertia,Double_Memory_MB,MiniBatch+Full_Memory_MB,Rel_Memory_MB,Single_Memory_MB
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Double,MiniBatch+Full,28.289446994662285,18.59110511875042,0.6571745683914653,34.28254316085348,32,,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Single,MiniBatch+Full,,18.59110511875042,1.0366829615232886,-3.6682961523288746,32,17.933260031044483,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Double,MiniBatch+Full,,,,-0.1906338092835961,32,,48837184.824143566,48930285.0099207,1.001906338092836,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Single,MiniBatch+Full,,,,-16.530497223294123,32,,,48930285.0099207,1.1653049722329412,41989252.75,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Double,MiniBatch+Full,,,,52.30674743652344,32,,,,,,400.0,190.77301025390625,0.4769325256347656,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Single,MiniBatch+Full,,,,4.613494873046875,32,,,,,,,190.77301025390625,0.9538650512695312,200.0
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Double,MiniBatch+Full,27.805702470242977,22.189231881033265,0.7980101169815678,20.198988301843226,32,,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Single,MiniBatch+Full,,22.189231881033265,1.2876615050237301,-28.766150502373012,32,17.232193239033222,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Double,MiniBatch+Full,,,,-0.44920200873927035,32,,46209415.05533821,46416988.67599346,1.0044920200873928,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Single,MiniBatch+Full,,,,-16.604542753754746,32,,,46416988.67599346,1.1660454275375474,39807187.25,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Double,MiniBatch+Full,,,,52.30674743652344,32,,,,,,400.0,190.77301025390625,0.4769325256347656,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Single,MiniBatch+Full,,,,4.613494873046875,32,,,,,,,190.77301025390625,0.9538650512695312,200.0
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Double,MiniBatch+Full,64.06485561281443,27.7377685781521,0.4329638818791611,56.703611812083885,32,,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Single,MiniBatch+Full,,27.7377685781521,0.6851378979320609,31.486210206793906,32,40.48494275659323,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Double,MiniBatch+Full,,,,36.66252140970043,32,,444376781.93671685,281457049.11943024,0.6333747859029957,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Single,MiniBatch+Full,,,,18.78543111603283,32,,,281457049.11943024,0.8121456888396718,346559802.0,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Double,MiniBatch+Full,,,,52.30674743652344,32,,,,,,960.0,457.855224609375,0.4769325256347656,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Single,MiniBatch+Full,,,,4.613494873046875,32,,,,,,,457.855224609375,0.9538650512695312,480.0
