DatasetName,NumClusters,metric,baseline,compare_suite,Double_Time,MixedPerCluster_Time,Rel_Time,Improvement_%,n_pairs,Single_Time,Double_Inertia,MixedPerCluster_Inertia,Rel_Inertia,Single_Inertia,Double_Memory_MB,MixedPerCluster_Memory_MB,Rel_Memory_MB,Single_Memory_MB
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Double,MixedPerCluster,4.914157708485921,6.477046191493476,1.318037917323799,-31.8037917323799,24,,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Time,Single,MixedPerCluster,,6.477046191493476,2.0356561969325444,-103.56561969325443,24,3.1817976931730905,,,,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Double,MixedPerCluster,,,,-14.94711095953202,24,,48868824.42007929,56173301.83076742,1.1494711095953203,,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Inertia,Single,MixedPerCluster,,,,-33.371606984727094,24,,,56173301.83076742,1.333716069847271,42117886.333333336,,,,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Double,MixedPerCluster,,,,52.30674743652344,24,,,,,,400.0,190.77301025390625,0.4769325256347656,
SYNTH_C_30_F_50_n1000_000k_kmeans,100,Memory_MB,Single,MixedPerCluster,,,,4.613494873046875,24,,,,,,,190.77301025390625,0.9538650512695312,200.0
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Double,MixedPerCluster,5.259511570135753,6.691356943304224,1.2722392286954345,-27.223922869543454,24,,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Time,Single,MixedPerCluster,,6.691356943304224,2.044848034160285,-104.4848034160285,24,3.272300352652868,,,,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Double,MixedPerCluster,,,,-4.955563164815425,24,,46683056.6126889,48996464.97039724,1.0495556316481542,,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Inertia,Single,MixedPerCluster,,,,-22.903433801116705,24,,,48996464.97039724,1.229034338011167,39865822.666666664,,,,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Double,MixedPerCluster,,,,52.30674743652344,24,,,,,,400.0,190.77301025390625,0.4769325256347656,
SYNTH_C_5_F_50_n1000_000k_kmeans,100,Memory_MB,Single,MixedPerCluster,,,,4.613494873046875,24,,,,,,,190.77301025390625,0.9538650512695312,200.0
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Double,MixedPerCluster,6.869131366411845,11.915116281898614,1.7345885012710982,-73.45885012710983,24,,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Time,Single,MixedPerCluster,,11.915116281898614,2.5672848066112137,-156.72848066112138,24,4.6411353548367815,,,,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Double,MixedPerCluster,,,,-1.3862275326070232,24,,444518720.0873642,450680760.9728076,1.0138622753260702,,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Inertia,Single,MixedPerCluster,,,,-28.823293651958398,24,,,450680760.9728076,1.288232936519584,349844153.3333333,,,,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Double,MixedPerCluster,,,,52.30674743652344,24,,,,,,960.0,457.855224609375,0.4769325256347656,
SYNTH_C_80_F_120_n1000_000k_kmeans,100,Memory_MB,Single,MixedPerCluster,,,,4.613494873046875,24,,,,,,,457.855224609375,0.9538650512695312,480.0
