DatasetName,DatasetSize,NumClasses,Tolerance,Cap,iter_single,iter_double,Suite,Time,Memory_MB,Accuracy,Mode
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.25479006767273,-8.55078125,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.1,1000,10,246,Hybrid,56.11741065979004,-63.93359375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.3006637096405,0.12109375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.01,1000,48,246,Hybrid,76.96915936470032,-0.1796875,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.390965938568115,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.001,1000,103,246,Hybrid,86.42412614822388,-0.9375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.2621283531189,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.0001,1000,181,246,Hybrid,89.5799469947815,-1.359375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.75725603103638,-4.78125,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.1,1000,10,246,Hybrid,55.56262278556824,0.09375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.82177782058716,-0.09765625,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.01,1000,48,246,Hybrid,77.40593242645264,0.18359375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,45.33331322669983,-0.0546875,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.001,1000,103,246,Hybrid,86.8203957080841,0.15234375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,44.49713349342346,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.0001,1000,181,246,Hybrid,88.81536936759949,-0.03515625,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,25.377182245254517,-4.88671875,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.1,1000,10,246,Hybrid,31.097456216812134,0.1171875,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,25.13533878326416,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.01,1000,48,246,Hybrid,42.67557740211487,0.08984375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,25.468778133392334,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.001,1000,103,246,Hybrid,48.58287596702576,0.09375,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,1e-05,1000,0,246,Double,24.88908863067627,0.0,1.0,B
SYNTH_C_5_F_50_n100k,1000000,0,0.0001,1000,181,246,Hybrid,50.13394355773926,0.015625,1.0,B
