dataset,kernel,C,gamma,approach,time_sec,n_sv,roc_auc,accuracy,iters_single,iters_double
gauss,linear,1.0,auto,double(precise),0.04669902595536162,59.0,1.0,1.0,,
gauss,linear,1.0,auto,hybrid(SV-refit),0.040213901464206475,56.13333333333333,1.0,1.0,,
gauss,linear,1.0,scale,double(precise),0.04769298697356135,59.0,1.0,1.0,,
gauss,linear,1.0,scale,hybrid(SV-refit),0.04111255396467944,56.13333333333333,1.0,1.0,,
gauss,linear,4.0,auto,double(precise),0.048332318065998456,59.0,1.0,1.0,,
gauss,linear,4.0,auto,hybrid(SV-refit),0.04205004919786006,56.13333333333333,1.0,1.0,,
gauss,linear,4.0,scale,double(precise),0.05110870536106328,59.0,1.0,1.0,,
gauss,linear,4.0,scale,hybrid(SV-refit),0.04383070829013983,56.13333333333333,1.0,1.0,,
gauss,poly,1.0,auto,double(precise),0.17659976829309015,399.0,1.0,1.0,,
gauss,poly,1.0,auto,hybrid(SV-refit),0.1624487581352393,333.96666666666664,1.0,1.0,,
gauss,poly,1.0,scale,double(precise),0.18367391244197886,399.0,1.0,1.0,,
gauss,poly,1.0,scale,hybrid(SV-refit),0.1647810249822214,333.96666666666664,1.0,1.0,,
gauss,poly,4.0,auto,double(precise),0.17247718581929802,386.0,1.0,1.0,,
gauss,poly,4.0,auto,hybrid(SV-refit),0.15848998700579006,325.26666666666665,1.0,1.0,,
gauss,poly,4.0,scale,double(precise),0.1746433446649462,386.0,1.0,1.0,,
gauss,poly,4.0,scale,hybrid(SV-refit),0.16114590644525986,325.26666666666665,1.0,1.0,,
gauss,rbf,1.0,auto,double(precise),0.12163767215485374,231.0,1.0,1.0,,
gauss,rbf,1.0,auto,hybrid(SV-refit),0.10953839267604053,196.33333333333334,1.0,1.0,,
gauss,rbf,1.0,scale,double(precise),0.12300891350023449,231.0,1.0,1.0,,
gauss,rbf,1.0,scale,hybrid(SV-refit),0.11014177716181923,196.33333333333334,1.0,1.0,,
gauss,rbf,4.0,auto,double(precise),0.11156551347424587,230.0,1.0,1.0,,
gauss,rbf,4.0,auto,hybrid(SV-refit),0.10254935373862585,197.76666666666668,1.0,1.0,,
gauss,rbf,4.0,scale,double(precise),0.1288733919694399,230.0,1.0,1.0,,
gauss,rbf,4.0,scale,hybrid(SV-refit),0.11774911872732143,197.76666666666668,1.0,1.0,,
gauss,sigmoid,1.0,auto,double(precise),0.05058749089172731,40.0,1.0,1.0,,
gauss,sigmoid,1.0,auto,hybrid(SV-refit),0.04791328626840065,37.0,1.0,1.0,,
gauss,sigmoid,1.0,scale,double(precise),0.05087476048308114,40.0,1.0,1.0,,
gauss,sigmoid,1.0,scale,hybrid(SV-refit),0.048647033089461424,37.0,1.0,1.0,,
gauss,sigmoid,4.0,auto,double(precise),0.04486050494791319,40.0,1.0,1.0,,
gauss,sigmoid,4.0,auto,hybrid(SV-refit),0.04503760063865533,38.0,1.0,1.0,,
gauss,sigmoid,4.0,scale,double(precise),0.0483822502894327,40.0,1.0,1.0,,
gauss,sigmoid,4.0,scale,hybrid(SV-refit),0.04910144410872211,38.0,1.0,1.0,,
